Time_s,Avg_Speed_mps,Rep_Speed_mps
389,9.62569338448509,12.721294735019
390,7.41322369452239,12.8530647291959
391,7.49111788915759,12.9848347233728
392,7.4918843024559,13.1166047175496
393,7.42008040643962,13.2483747117265
394,7.34722427230437,13.3801447059034
395,7.27436813816911,13.5119147000802
396,7.20151200403386,13.6436846942571
397,7.12865586989861,13.775454688434
398,7.05579973576335,13.9072246826108
399,6.9829436016281,14.0389946767877
400,6.91008746749285,14.1707646709646
401,6.83723133335759,14.3025346651414
402,6.76437519922234,14.4343046593183
403,6.64067154115723,14.0166794195898
404,6.55015461629682,13.5532534941657
405,6.45963769143641,13.0898275687416
406,6.48104980331022,12.6264016433176
407,6.50584362729052,12.1629757178935
408,6.53063745127082,11.6995497924694
409,6.55543127525112,11.2361238670453
410,6.58022509923142,10.7726979416213
411,6.60501892321172,10.3092720161972
412,6.62981274719203,9.84584609077312
413,6.65460657117233,9.38242016534904
414,5.77218492064382,0
415,5.81367414779772,0
416,4.98390073839848,0
417,5.03169140587218,0
418,5.07948207334587,0
419,5.12727274081957,0
420,5.17506340829327,0
421,5.22285407576697,0
422,5.27064474324067,0
423,5.29218544643991,0
424,5.28844700535665,0
425,5.28470856427339,0
426,5.26013869576695,0
427,5.22030918874646,0
428,5.18047968172598,0
429,5.14065017470549,0
430,5.100820667685,0
431,5.06099116066452,0
432,5.02116165364403,0
433,4.98133214662355,0
434,4.91995764533123,0
435,4.84323260708352,0
436,4.75729980416482,0
437,4.4080783941982,0
438,4.34888449984363,0
439,4.28969060548906,0
440,4.23049671113449,0
441,4.17130281677992,0
442,4.11210892242535,0
443,4.05527779221162,0
444,4.00377901011411,0
445,3.95354785049782,0
446,3.9105745822368,0
447,3.82736162927699,0
448,3.71327263143844,0
449,3.5991836335999,0
450,3.48509463576135,0
451,2.38309791457242,0
452,2.30555633539757,0
453,2.22801475622271,0
454,2.15047317704786,0
455,2.07293159787301,0
456,1.99539001869816,0
457,1.9178484395233,0
458,1.84030686034845,0
459,1.7627652811736,0
460,1.68522370199875,0
461,1.70469792420562,0
462,1.73021338441786,0
463,1.7557288446301,0
464,1.43138014858974,0
465,1.4569706918985,0
466,1.48256123520726,0
467,1.50815177851602,0
468,1.53374232182478,0
469,1.55933286513354,0
470,1.5849234084423,0
471,1.61051395175107,0
